Virtual address: 14595; Physical address: 33283; Value: 64
Virtual address: 13853; Physical address: 31261; Value: 0
Virtual address: 24143; Physical address: 33615; Value: 147
Virtual address: 15216; Physical address: 32368; Value: 0
Virtual address: 8113; Physical address: 33969; Value: 0
Virtual address: 22640; Physical address: 2928; Value: 0
Virtual address: 32978; Physical address: 4306; Value: 7
Virtual address: 39151; Physical address: 4079; Value: 251
Virtual address: 19520; Physical address: 22592; Value: 0
Virtual address: 58141; Physical address: 34077; Value: 0
Virtual address: 63959; Physical address: 21975; Value: 245
Virtual address: 53040; Physical address: 34352; Value: 0
Virtual address: 55842; Physical address: 34594; Value: 54
Virtual address: 585; Physical address: 17225; Value: 0
Virtual address: 51229; Physical address: 32541; Value: 0
Virtual address: 64181; Physical address: 4533; Value: 0
Virtual address: 54879; Physical address: 3679; Value: 151
Virtual address: 28210; Physical address: 34866; Value: 27
Virtual address: 10268; Physical address: 14620; Value: 0
Virtual address: 15395; Physical address: 31779; Value: 136
Virtual address: 12884; Physical address: 30292; Value: 0
Virtual address: 2149; Physical address: 35173; Value: 0
Virtual address: 53483; Physical address: 35563; Value: 58
Virtual address: 59606; Physical address: 26070; Value: 52
Virtual address: 14981; Physical address: 24709; Value: 0
Virtual address: 36672; Physical address: 35648; Value: 0
Virtual address: 23197; Physical address: 35997; Value: 0
Virtual address: 36518; Physical address: 14502; Value: 22
Virtual address: 13361; Physical address: 36145; Value: 0
Virtual address: 19810; Physical address: 36450; Value: 19
Virtual address: 25955; Physical address: 36707; Value: 88
Virtual address: 62678; Physical address: 470; Value: 25
Virtual address: 26021; Physical address: 36773; Value: 0
Virtual address: 29409; Physical address: 37089; Value: 0
Virtual address: 38111; Physical address: 37343; Value: 55
Virtual address: 58573; Physical address: 15565; Value: 0
Virtual address: 56840; Physical address: 37384; Value: 0
Virtual address: 41306; Physical address: 24922; Value: 55
Virtual address: 54426; Physical address: 19354; Value: 55
Virtual address: 3617; Physical address: 10017; Value: 0
Virtual address: 50652; Physical address: 18652; Value: 0
Virtual address: 41452; Physical address: 25068; Value: 0
Virtual address: 20241; Physical address: 16657; Value: 0
Virtual address: 31723; Physical address: 12267; Value: 186
Virtual address: 53747; Physical address: 1011; Value: 188
Virtual address: 28550; Physical address: 28038; Value: 55
Virtual address: 23402; Physical address: 20586; Value: 55
Virtual address: 21205; Physical address: 37845; Value: 0
Virtual address: 56181; Physical address: 25205; Value: 0
Virtual address: 57470; Physical address: 38014; Value: 56
Virtual address: 39933; Physical address: 38397; Value: 0
Virtual address: 34964; Physical address: 26772; Value: 0
Virtual address: 24781; Physical address: 38605; Value: 0
Virtual address: 41747; Physical address: 38675; Value: 196
Virtual address: 62564; Physical address: 356; Value: 0
Virtual address: 58461; Physical address: 15453; Value: 0
Virtual address: 20858; Physical address: 39034; Value: 20
Virtual address: 49301; Physical address: 8597; Value: 0
Virtual address: 40572; Physical address: 39292; Value: 0
Virtual address: 23840; Physical address: 39456; Value: 0
Virtual address: 35278; Physical address: 39886; Value: 34
Virtual address: 62905; Physical address: 28601; Value: 0
Virtual address: 56650; Physical address: 13386; Value: 34
Virtual address: 11149; Physical address: 40077; Value: 0
Virtual address: 38920; Physical address: 3848; Value: 0
Virtual address: 23430; Physical address: 20614; Value: 10
Virtual address: 57592; Physical address: 38136; Value: 0
Virtual address: 3080; Physical address: 40200; Value: 0
Virtual address: 6677; Physical address: 6677; Value: 0
Virtual address: 50704; Physical address: 26128; Value: 0
Virtual address: 51883; Physical address: 27307; Value: 42
Virtual address: 62799; Physical address: 28495; Value: 19
Virtual address: 20188; Physical address: 40668; Value: 0
Virtual address: 1245; Physical address: 40925; Value: 0
Virtual address: 12220; Physical address: 2748; Value: 0
Virtual address: 17602; Physical address: 41154; Value: 17
Virtual address: 28609; Physical address: 28097; Value: 0
Virtual address: 42694; Physical address: 20934; Value: 17
Virtual address: 29826; Physical address: 41346; Value: 29
Virtual address: 13827; Physical address: 31235; Value: 0
Virtual address: 27336; Physical address: 28872; Value: 0
*********************************************************************
Page fault rate: 24.30%
TLB hit rate: 5.40%
